% Moku:Go Frequency Response Analyzer
% Measurement mode: In / Out (dB)
% Channel 1 (on), AC , 1 MOhm , 10 Vpp, amplitude 5 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Channel 2 (off), DC , 1 MOhm , 10 Vpp, amplitude 100 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Logarithmic sweep from 1.000000 kHz to 200.0000 kHz with 8,192 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 935.0 ns (auto), normalization off
% Averaging time 2.00 ms, 3 cycles; Settling time 100 us, 1 cycles
% 
% Acquired 2026-04-23 T 11:28:44 +0200
% Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
2.07971409e+03, -1.8664e-01, -1.8338e+02
2.08105978e+03, -3.7170e-01, -1.8359e+02
2.08240634e+03, -4.8276e-01, -1.8794e+02
2.08375377e+03, -3.8684e-01, -1.7959e+02
2.08510208e+03, -6.6521e-01, -1.8401e+02
2.08645126e+03, 9.3439e-02, -1.8140e+02
2.08780131e+03, -7.8648e-01, -1.7884e+02
2.08915223e+03, -1.5226e-01, -1.8417e+02
2.09050403e+03, -3.9355e-01, -1.8320e+02
2.09185670e+03, -2.5274e-01, -1.8337e+02
2.09321025e+03, -7.2709e-01, -1.8317e+02
2.09456467e+03, -3.4971e-01, -1.8643e+02
2.09591997e+03, -7.5348e-01, -1.8098e+02
2.09727615e+03, -3.3651e-01, -1.8395e+02
2.09863321e+03, -3.9837e-02, -1.7877e+02
2.09999114e+03, -2.1505e-02, -1.8133e+02
2.10134995e+03, -2.7541e-01, -1.8530e+02
2.10270964e+03, -4.0017e-03, -1.8020e+02
2.10407021e+03, -1.0524e+00, -1.8666e+02
2.10543166e+03, -1.3033e-01, -1.8301e+02
2.10679400e+03, -6.5825e-01, -1.8267e+02
2.10815721e+03, -1.2119e-01, -1.8081e+02
2.10952131e+03, -7.8208e-01, -1.8336e+02
2.11088628e+03, -3.1470e-01, -1.8647e+02
2.11225215e+03, -1.0822e-01, -1.8332e+02
2.11361889e+03, -9.1217e-01, -1.8316e+02
2.11498652e+03, -2.2420e-01, -1.8927e+02
2.11635503e+03, 7.7145e-03, -1.8201e+02
2.11772443e+03, -2.0372e-01, -1.8405e+02
2.11909472e+03, -5.8487e-01, -1.8484e+02
2.12046589e+03, -4.9429e-01, -1.8309e+02
2.12183795e+03, 5.6007e-02, -1.8349e+02
2.12321090e+03, -7.6561e-01, -1.8689e+02
2.12458474e+03, -9.2677e-01, -1.8166e+02
2.12595946e+03, -9.3489e-02, -1.8657e+02
2.12733508e+03, -1.1238e-01, -1.8218e+02
2.12871158e+03, -8.9172e-01, -1.8383e+02
2.13008898e+03, -8.1621e-01, -1.8463e+02
2.13146726e+03, -3.4204e-01, -1.8525e+02
2.13284644e+03, -1.7121e-01, -1.8443e+02
2.13422651e+03, -3.3443e-01, -1.8223e+02
2.13560748e+03, -6.4959e-01, -1.8330e+02
2.13698933e+03, -9.3505e-01, -1.8421e+02
2.13837209e+03, -1.8956e-01, -1.8499e+02
2.13975573e+03, -1.4793e-01, -1.8283e+02
2.14114027e+03, -9.5599e-01, -1.8308e+02
2.14252571e+03, -7.5571e-01, -1.8310e+02
2.14391205e+03, -2.5520e-01, -1.8340e+02
2.14529928e+03, -4.1041e-01, -1.8248e+02
2.14668741e+03, -8.0181e-03, -1.8261e+02
2.14807643e+03, -5.4423e-01, -1.8162e+02
2.14946636e+03, -7.6893e-01, -1.8176e+02
2.15085718e+03, -5.3864e-01, -1.8590e+02
2.15224891e+03, 1.1335e-01, -1.8659e+02
2.15364153e+03, 2.1030e-02, -1.8092e+02
2.15503506e+03, -1.9619e-01, -1.8208e+02
2.15642949e+03, -6.5980e-01, -1.8235e+02
2.15782482e+03, -8.9061e-01, -1.8095e+02
2.15922105e+03, -8.3207e-01, -1.8605e+02
2.16061819e+03, 1.0128e-01, -1.8397e+02
2.16201623e+03, -1.2607e-01, -1.8287e+02
2.16341517e+03, -2.8834e-01, -1.8252e+02
2.16481502e+03, -4.2840e-01, -1.8157e+02
2.16621578e+03, -7.7846e-01, -1.8182e+02
2.16761744e+03, -6.4243e-01, -1.8305e+02
2.16902001e+03, -6.3762e-01, -1.8151e+02
2.17042349e+03, -8.5322e-01, -1.8686e+02
2.17182788e+03, -1.6585e-01, -1.8670e+02
2.17323317e+03, 3.1914e-01, -1.8512e+02
2.17463937e+03, -2.0793e-01, -1.8288e+02
2.17604649e+03, 1.4415e-02, -1.8143e+02
2.17745451e+03, -5.9753e-01, -1.8411e+02
2.17886345e+03, -3.7271e-01, -1.8239e+02
2.18027329e+03, -2.1128e-01, -1.8377e+02
2.18168405e+03, -7.7801e-01, -1.8049e+02
2.18309572e+03, -8.9207e-01, -1.8366e+02
2.18450831e+03, -3.8691e-01, -1.8834e+02
2.18592181e+03, 6.4460e-02, -1.8716e+02
2.18733622e+03, -1.3730e-01, -1.8557e+02
2.18875155e+03, -3.9401e-01, -1.8065e+02
2.19016779e+03, -3.8196e-01, -1.8590e+02
2.19158495e+03, 1.4076e-01, -1.8517e+02
2.19300303e+03, -1.7223e-02, -1.8312e+02
2.19442203e+03, 1.9087e-01, -1.8276e+02
2.19584194e+03, -3.9255e-01, -1.8044e+02
2.19726277e+03, -3.1188e-01, -1.8063e+02
2.19868453e+03, -7.0288e-01, -1.8370e+02
2.20010720e+03, -2.9507e-01, -1.8451e+02
2.20153079e+03, -4.4866e-01, -1.8133e+02
2.20295530e+03, -8.6341e-01, -1.8287e+02
2.20438074e+03, -6.2923e-01, -1.8303e+02
2.20580710e+03, -9.2462e-01, -1.8343e+02
2.20723438e+03, -5.7033e-01, -1.7991e+02
2.20866258e+03, -4.6133e-01, -1.8296e+02
2.21009171e+03, -4.7068e-01, -1.8330e+02
2.21152176e+03, -6.2057e-01, -1.8313e+02
2.21295274e+03, -7.0569e-01, -1.8681e+02
2.21438465e+03, -6.4317e-01, -1.8321e+02
2.21581748e+03, -8.4325e-01, -1.8445e+02
2.21725123e+03, -6.3795e-01, -1.8615e+02
2.21868592e+03, -6.1177e-01, -1.8670e+02
2.22012153e+03, -3.9776e-01, -1.8379e+02
2.22155808e+03, -4.5477e-01, -1.8021e+02
2.22299555e+03, -1.0058e+00, -1.8303e+02
2.22443395e+03, -5.7925e-01, -1.8168e+02
2.22587328e+03, -4.6328e-01, -1.8213e+02
2.22731355e+03, -1.4940e+00, -1.7987e+02
2.22875474e+03, 5.7187e-01, -1.7968e+02
2.23019687e+03, -1.7935e-01, -1.8382e+02
2.23163994e+03, -7.3326e-02, -1.8306e+02
2.23308393e+03, -1.1289e-01, -1.8089e+02
2.23452886e+03, 1.6684e-01, -1.7867e+02
2.23597473e+03, -1.5960e-01, -1.8772e+02
2.23742153e+03, 1.1236e-01, -1.8259e+02
2.23886926e+03, -1.2889e-01, -1.8460e+02
2.24031794e+03, -6.3470e-01, -1.8443e+02
2.24176755e+03, -6.4405e-01, -1.8598e+02
2.24321810e+03, -6.5664e-01, -1.8747e+02
2.24466959e+03, -6.4653e-01, -1.8496e+02
2.24612201e+03, -6.4575e-01, -1.8477e+02
2.24757538e+03, -7.0021e-01, -1.8421e+02
2.24902969e+03, -1.0318e-01, -1.8339e+02
2.25048493e+03, -4.4434e-01, -1.8178e+02
2.25194112e+03, -8.4362e-02, -1.8241e+02
2.25339825e+03, 1.6208e-01, -1.8293e+02
2.25485633e+03, -3.9518e-01, -1.8557e+02
2.25631535e+03, -2.1708e-01, -1.8611e+02
2.25777531e+03, -4.3090e-01, -1.8317e+02
2.25923622e+03, -7.8319e-01, -1.8479e+02
2.26069807e+03, -3.1140e-01, -1.8528e+02
2.26216087e+03, -4.0300e-01, -1.8012e+02
2.26362461e+03, -4.6339e-01, -1.7933e+02
2.26508930e+03, -1.3494e-01, -1.8220e+02
2.26655494e+03, -2.7921e-01, -1.8189e+02
2.26802153e+03, -5.0342e-01, -1.8464e+02
2.26948907e+03, -4.8663e-01, -1.8668e+02
2.27095755e+03, -9.8901e-01, -1.8406e+02
2.27242699e+03, -5.8537e-01, -1.8029e+02
2.27389738e+03, -2.7650e-01, -1.8024e+02
2.27536872e+03, -8.4770e-01, -1.8750e+02
2.27684101e+03, -1.4561e-01, -1.8226e+02
2.27831425e+03, -5.4581e-01, -1.8410e+02
2.27978845e+03, -4.6405e-01, -1.8683e+02
2.28126360e+03, -7.1240e-01, -1.7896e+02
2.28273970e+03, -3.1355e-01, -1.8156e+02
2.28421676e+03, 8.8598e-01, -1.8412e+02
2.28569478e+03, -2.7216e-01, -1.8276e+02
2.28717375e+03, -4.6131e-01, -1.8676e+02
2.28865368e+03, -8.0494e-01, -1.8200e+02
2.29013457e+03, -2.5123e-05, -1.8218e+02
2.29161641e+03, 9.0861e-02, -1.8247e+02
2.29309922e+03, -2.5767e-01, -1.8109e+02
2.29458298e+03, -3.9707e-01, -1.8570e+02
2.29606770e+03, -8.2952e-01, -1.8385e+02
2.29755339e+03, 5.0445e-02, -1.8250e+02
2.29904003e+03, 1.0421e-02, -1.8728e+02
2.30052764e+03, -4.9666e-01, -1.8562e+02
2.30201621e+03, 1.1122e-02, -1.8142e+02
2.30350574e+03, -3.0501e-01, -1.8096e+02
2.30499624e+03, -9.4870e-02, -1.8523e+02
2.30648770e+03, -4.9196e-01, -1.8623e+02
2.30798013e+03, -9.9178e-01, -1.8511e+02
2.30947352e+03, -2.1267e-01, -1.8328e+02
2.31096788e+03, -3.8212e-01, -1.8306e+02
2.31246320e+03, -5.3011e-01, -1.8684e+02
2.31395950e+03, -8.7548e-01, -1.8018e+02
2.31545676e+03, -3.8846e-01, -1.8296e+02
2.31695499e+03, 6.1130e-02, -1.8251e+02
2.31845419e+03, -4.5632e-01, -1.8595e+02
2.31995436e+03, -4.2957e-01, -1.8357e+02
2.32145550e+03, -7.7564e-02, -1.8099e+02
2.32295761e+03, -2.6615e-01, -1.8648e+02
2.32446069e+03, -7.4102e-01, -1.8415e+02
2.32596475e+03, -3.1574e-01, -1.8483e+02
2.32746978e+03, -3.9370e-01, -1.8312e+02
2.32897578e+03, -3.9855e-02, -1.8741e+02
2.33048276e+03, -8.7564e-01, -1.8270e+02
2.33199071e+03, -4.7550e-02, -1.8037e+02
2.33349964e+03, -3.6380e-01, -1.8513e+02
2.33500955e+03, -2.2233e-01, -1.8427e+02
2.33652043e+03, 3.6471e-02, -1.8066e+02
2.33803229e+03, -1.8480e-01, -1.8655e+02
2.33954512e+03, -5.3626e-01, -1.8438e+02
2.34105894e+03, 2.3721e-01, -1.8605e+02
2.34257374e+03, -7.1154e-01, -1.8733e+02
2.34408951e+03, 2.7596e-01, -1.8189e+02
2.34560627e+03, -4.0204e-01, -1.8192e+02
2.34712401e+03, -8.7223e-02, -1.8379e+02
2.34864273e+03, -5.5016e-01, -1.8101e+02
2.35016243e+03, -3.5939e-01, -1.8212e+02
2.35168312e+03, -3.2873e-01, -1.8313e+02
2.35320479e+03, -5.2294e-01, -1.8423e+02
2.35472744e+03, -1.1555e-01, -1.8219e+02
2.35625108e+03, -1.0602e+00, -1.8509e+02
2.35777571e+03, -1.0532e-01, -1.8357e+02
2.35930132e+03, -2.6348e-01, -1.8677e+02
2.36082792e+03, -6.9777e-01, -1.8741e+02
2.36235551e+03, -3.3489e-01, -1.8248e+02
2.36388409e+03, -6.0484e-01, -1.8679e+02
2.36541365e+03, -3.7729e-01, -1.8387e+02
2.36694421e+03, -1.9700e-01, -1.8292e+02
2.36847575e+03, -1.6192e-01, -1.8658e+02
2.37000829e+03, -1.0206e+00, -1.8108e+02
2.37154182e+03, -9.1224e-01, -1.8640e+02
2.37307634e+03, -2.8231e-01, -1.8305e+02
2.37461185e+03, -7.6146e-02, -1.8318e+02
2.37614836e+03, -2.8795e-01, -1.8741e+02
2.37768586e+03, -7.6589e-01, -1.8167e+02
2.37922435e+03, -5.1957e-01, -1.8723e+02
2.38076384e+03, -4.5961e-01, -1.8160e+02
2.38230433e+03, -1.9298e-02, -1.8455e+02
2.38384582e+03, -3.3861e-01, -1.8623e+02
2.38538830e+03, -1.6809e-01, -1.8060e+02
2.38693178e+03, -9.9429e-01, -1.8390e+02
2.38847625e+03, -4.4890e-02, -1.8119e+02
2.39002173e+03, -1.0035e-01, -1.8070e+02
2.39156821e+03, -8.4535e-01, -1.8522e+02
2.39311569e+03, -1.8009e-01, -1.8285e+02
2.39466417e+03, 5.2051e-02, -1.8149e+02
2.39621365e+03, -3.0902e-01, -1.8276e+02
2.39776413e+03, -6.3016e-01, -1.8211e+02
2.39931562e+03, -1.6247e-02, -1.8001e+02
2.40086811e+03, -5.2772e-01, -1.8746e+02
2.40242161e+03, 2.9436e-01, -1.8316e+02
2.40397611e+03, 8.3215e-02, -1.8230e+02
2.40553162e+03, 3.5515e-01, -1.8360e+02
2.40708813e+03, 5.4668e-02, -1.8428e+02
2.40864565e+03, -9.7411e-02, -1.8152e+02
2.41020418e+03, -4.0648e-01, -1.8117e+02
2.41176372e+03, -2.7097e-01, -1.8191e+02
2.41332426e+03, 2.0586e-01, -1.8576e+02
2.41488582e+03, -3.9296e-01, -1.8149e+02
2.41644838e+03, -2.1046e-01, -1.8527e+02
2.41801196e+03, -5.1596e-01, -1.8479e+02
2.41957655e+03, -4.7940e-01, -1.8485e+02
2.42114215e+03, -4.9506e-01, -1.8327e+02
2.42270877e+03, -1.1227e-01, -1.8556e+02
2.42427639e+03, -2.5685e-01, -1.8183e+02
2.42584504e+03, 9.5669e-02, -1.8235e+02
2.42741469e+03, 1.5469e-01, -1.8162e+02
2.42898537e+03, -4.3262e-01, -1.8599e+02
2.43055706e+03, -2.1981e-01, -1.8244e+02
2.43212976e+03, -9.8400e-01, -1.8394e+02
2.43370349e+03, -5.4076e-01, -1.8557e+02
2.43527823e+03, -4.2927e-01, -1.8567e+02
2.43685399e+03, 1.2613e-01, -1.8407e+02
2.43843077e+03, -8.4750e-01, -1.8120e+02
2.44000857e+03, -4.3184e-02, -1.8467e+02
2.44158739e+03, -4.4720e-01, -1.8191e+02
2.44316724e+03, -3.6019e-01, -1.8861e+02
2.44474810e+03, -2.2314e-02, -1.8102e+02
2.44632999e+03, -5.3036e-01, -1.8451e+02
2.44791290e+03, 8.3976e-02, -1.8378e+02
2.44949684e+03, -2.8708e-01, -1.8578e+02
2.45108180e+03, -1.7698e-01, -1.8706e+02
2.45266779e+03, -9.6069e-02, -1.8371e+02
2.45425480e+03, -3.2470e-01, -1.8236e+02
2.45584284e+03, -3.6249e-01, -1.8394e+02
2.45743191e+03, -7.0376e-01, -1.8507e+02
2.45902201e+03, -3.2199e-01, -1.8607e+02
2.46061313e+03, 1.8195e-02, -1.8329e+02
2.46220528e+03, -7.6470e-02, -1.8026e+02
2.46379847e+03, -3.1721e-01, -1.8090e+02
2.46539268e+03, -5.4783e-01, -1.8548e+02
2.46698793e+03, -4.8618e-01, -1.8337e+02
2.46858421e+03, -6.0444e-01, -1.8363e+02
2.47018152e+03, -5.7457e-02, -1.8431e+02
2.47177987e+03, 3.9944e-01, -1.7969e+02
2.47337925e+03, -5.1647e-01, -1.8462e+02
2.47497966e+03, -2.6979e-01, -1.8621e+02
2.47658111e+03, -1.3587e-02, -1.7927e+02
2.47818360e+03, -7.6318e-01, -1.8558e+02
2.47978712e+03, -1.1829e-01, -1.8390e+02
2.48139168e+03, -2.8178e-01, -1.8430e+02
2.48299728e+03, -2.8893e-01, -1.8405e+02
2.48460392e+03, 1.6085e-02, -1.8775e+02
2.48621160e+03, -5.5685e-01, -1.8386e+02
2.48782032e+03, -3.5608e-01, -1.8131e+02
2.48943008e+03, 4.1434e-01, -1.8495e+02
2.49104088e+03, -8.8100e-01, -1.8427e+02
2.49265272e+03, -2.7115e-01, -1.8572e+02
2.49426560e+03, -2.5196e-01, -1.8611e+02
2.49587953e+03, -2.0108e-01, -1.8313e+02
2.49749451e+03, -1.6266e-01, -1.8706e+02
2.49911053e+03, 1.7055e-01, -1.8418e+02
2.50072759e+03, -2.1942e-01, -1.8541e+02
2.50234570e+03, 5.0492e-02, -1.8244e+02
2.50396486e+03, -8.1056e-01, -1.8569e+02
2.50558506e+03, -5.2524e-01, -1.8448e+02
2.50720632e+03, -2.6470e-01, -1.8147e+02
2.50882862e+03, -3.3722e-01, -1.8103e+02
2.51045197e+03, -5.9149e-01, -1.8290e+02
2.51207637e+03, -5.0607e-01, -1.8456e+02
2.51370183e+03, -7.8007e-01, -1.8439e+02
2.51532833e+03, -4.5349e-01, -1.8333e+02
2.51695589e+03, -2.6654e-01, -1.8476e+02
2.51858450e+03, -5.6148e-02, -1.8438e+02
2.52021417e+03, -5.0430e-01, -1.8329e+02
2.52184489e+03, -4.9106e-01, -1.8577e+02
2.52347666e+03, -3.8927e-01, -1.8423e+02
2.52510949e+03, -4.1012e-01, -1.8687e+02
2.52674338e+03, -1.5914e-01, -1.8626e+02
2.52837832e+03, -3.0425e-01, -1.8607e+02
2.53001433e+03, -4.2778e-01, -1.8484e+02
2.53165139e+03, -3.8151e-01, -1.8432e+02
2.53328951e+03, -8.7241e-01, -1.8659e+02
2.53492869e+03, 4.7277e-01, -1.8881e+02
2.53656893e+03, -2.6802e-01, -1.8765e+02
2.53821023e+03, -6.3816e-01, -1.8491e+02
2.53985259e+03, -5.9004e-01, -1.8592e+02
2.54149602e+03, -2.8058e-01, -1.8700e+02
2.54314051e+03, -7.2955e-02, -1.8558e+02
2.54478606e+03, -2.6765e-01, -1.8570e+02
2.54643268e+03, -6.2886e-01, -1.8516e+02
2.54808037e+03, -3.9125e-01, -1.8453e+02
2.54972912e+03, -5.0554e-01, -1.8464e+02
2.55137894e+03, -7.0702e-01, -1.8444e+02
2.55302982e+03, -1.3182e-01, -1.8349e+02
2.55468177e+03, -3.0199e-01, -1.8288e+02
2.55633480e+03, -4.8915e-01, -1.8446e+02
2.55798889e+03, -1.2682e-01, -1.8381e+02
2.55964405e+03, -1.8128e-01, -1.8152e+02
2.56130028e+03, -3.1903e-01, -1.8546e+02
2.56295759e+03, 2.5794e-02, -1.8670e+02
2.56461596e+03, -1.4434e-01, -1.8911e+02
2.56627541e+03, -2.3906e-01, -1.8689e+02
2.56793594e+03, -3.3695e-01, -1.8255e+02
2.56959754e+03, -4.3787e-01, -1.8474e+02
2.57126021e+03, -1.3707e-01, -1.8269e+02
2.57292396e+03, -2.9739e-01, -1.8151e+02
2.57458878e+03, -2.5439e-01, -1.8274e+02
2.57625469e+03, -6.1198e-03, -1.8566e+02
2.57792167e+03, -4.1574e-01, -1.8578e+02
2.57958973e+03, -9.2843e-02, -1.8560e+02
2.58125887e+03, -2.1122e-01, -1.8550e+02
2.58292908e+03, -3.7092e-01, -1.8567e+02
2.58460038e+03, -6.7103e-01, -1.7996e+02
2.58627276e+03, -3.3003e-01, -1.7945e+02
2.58794623e+03, -1.7451e-01, -1.8207e+02
2.58962077e+03, 2.1973e-01, -1.8526e+02
2.59129640e+03, -3.9014e-01, -1.8542e+02
2.59297312e+03, -1.3696e-01, -1.8281e+02
2.59465092e+03, -5.7059e-01, -1.8486e+02
2.59632980e+03, -5.2086e-01, -1.7943e+02
2.59800977e+03, -1.0632e-01, -1.8148e+02
2.59969083e+03, -2.4304e-01, -1.8744e+02
2.60137297e+03, -5.2985e-01, -1.8704e+02
2.60305621e+03, -2.7232e-01, -1.8342e+02
2.60474053e+03, -3.3816e-01, -1.8235e+02
2.60642594e+03, 1.7780e-02, -1.8214e+02
2.60811245e+03, -2.2889e-01, -1.8654e+02
2.60980004e+03, -7.4866e-01, -1.8535e+02
2.61148873e+03, -2.5670e-01, -1.8468e+02
2.61317851e+03, -3.6267e-01, -1.8182e+02
2.61486938e+03, -1.5707e-01, -1.8576e+02
2.61656135e+03, -2.0940e-01, -1.8383e+02
2.61825441e+03, -2.8626e-01, -1.8565e+02
2.61994856e+03, -4.7469e-01, -1.8176e+02
2.62164382e+03, -1.3963e-02, -1.8109e+02
2.62334017e+03, -1.4266e-01, -1.8709e+02
2.62503762e+03, -3.9598e-01, -1.8406e+02
2.62673616e+03, -2.8099e-01, -1.8365e+02
2.62843581e+03, 4.6384e-02, -1.8245e+02
2.63013655e+03, 2.6922e-01, -1.8439e+02
2.63183840e+03, -4.6555e-01, -1.8429e+02
2.63354134e+03, -1.4784e-01, -1.8226e+02
2.63524539e+03, 1.1021e-01, -1.8562e+02
2.63695054e+03, -2.9862e-01, -1.8374e+02
2.63865680e+03, -6.8327e-01, -1.8297e+02
2.64036416e+03, -2.7057e-01, -1.8304e+02
2.64207262e+03, 1.0382e-02, -1.8737e+02
2.64378219e+03, -8.5183e-01, -1.8490e+02
2.64549286e+03, -2.3933e-01, -1.8039e+02
2.64720464e+03, -1.4445e-01, -1.8327e+02
2.64891753e+03, -2.0950e-01, -1.8406e+02
2.65063153e+03, -4.3566e-01, -1.8088e+02
2.65234664e+03, -3.9068e-02, -1.8606e+02
2.65406286e+03, -5.4329e-01, -1.8704e+02
2.65578018e+03, 5.0040e-02, -1.8328e+02
2.65749862e+03, -6.3898e-02, -1.8451e+02
2.65921817e+03, -1.7736e-01, -1.8329e+02
2.66093883e+03, -4.8187e-01, -1.8122e+02
2.66266061e+03, 7.5678e-01, -1.8637e+02
2.66438350e+03, -6.7382e-01, -1.8495e+02
2.66610751e+03, 1.0219e-01, -1.8150e+02
2.66783263e+03, 2.7990e-02, -1.8641e+02
2.66955886e+03, -5.5809e-01, -1.8586e+02
2.67128622e+03, -2.4159e-01, -1.8045e+02
2.67301469e+03, -3.5709e-01, -1.8573e+02
2.67474428e+03, -6.0586e-01, -1.8298e+02
2.67647499e+03, 4.1506e-01, -1.8501e+02
2.67820682e+03, -4.2577e-01, -1.8362e+02
2.67993977e+03, -2.5785e-01, -1.8249e+02
2.68167384e+03, -1.4329e-01, -1.8689e+02
2.68340903e+03, -8.6330e-01, -1.8288e+02
2.68514535e+03, -7.9914e-02, -1.8433e+02
2.68688278e+03, -2.7943e-01, -1.8770e+02
2.68862135e+03, -3.0799e-02, -1.8621e+02
2.69036104e+03, 1.9077e-01, -1.8450e+02
2.69210185e+03, -6.5859e-01, -1.8315e+02
2.69384379e+03, -5.9209e-02, -1.8382e+02
2.69558686e+03, -4.6679e-01, -1.8839e+02
2.69733105e+03, -5.8774e-01, -1.8451e+02
2.69907638e+03, -5.9902e-01, -1.8432e+02
2.70082283e+03, -3.2186e-01, -1.8364e+02
2.70257041e+03, 5.9889e-01, -1.8563e+02
2.70431913e+03, -5.9226e-01, -1.8619e+02
2.70606897e+03, -1.9828e-01, -1.8629e+02
2.70781995e+03, -3.3945e-02, -1.8411e+02
2.70957206e+03, 1.2883e-01, -1.8341e+02
2.71132531e+03, -3.9636e-01, -1.8395e+02
2.71307969e+03, 2.5796e-01, -1.8221e+02
2.71483520e+03, -7.8356e-01, -1.8079e+02
2.71659185e+03, -2.3546e-01, -1.8388e+02
2.71834964e+03, -3.7721e-01, -1.8602e+02
2.72010856e+03, -3.4779e-01, -1.8218e+02
2.72186862e+03, -1.2862e-01, -1.8454e+02
2.72362983e+03, -1.1284e-02, -1.8551e+02
2.72539217e+03, -5.4014e-01, -1.8435e+02
2.72715565e+03, 4.4761e-02, -1.8283e+02
2.72892027e+03, -1.0938e-01, -1.8036e+02
2.73068603e+03, -1.6382e-01, -1.8404e+02
2.73245294e+03, -1.1706e+00, -1.8008e+02
2.73422099e+03, 3.8598e-01, -1.8389e+02
2.73599018e+03, -4.8697e-01, -1.8810e+02
2.73776052e+03, -1.8039e-01, -1.8274e+02
2.73953201e+03, -2.7533e-02, -1.8662e+02
2.74130464e+03, 3.1062e-02, -1.8633e+02
2.74307841e+03, -3.9553e-01, -1.8123e+02
2.74485334e+03, -3.6783e-01, -1.8564e+02
2.74662941e+03, -1.9206e-01, -1.8523e+02
2.74840664e+03, 5.8098e-02, -1.8261e+02
2.75018501e+03, -2.7514e-01, -1.8097e+02
2.75196453e+03, -5.5962e-01, -1.8488e+02
2.75374521e+03, -4.6534e-01, -1.8332e+02
2.75552703e+03, -3.2737e-01, -1.8455e+02
2.75731001e+03, -3.1896e-01, -1.8265e+02
2.75909415e+03, -4.6419e-01, -1.8225e+02
2.76087944e+03, -6.2485e-01, -1.8606e+02
2.76266588e+03, -1.1697e-01, -1.8376e+02
2.76445348e+03, -1.3006e-01, -1.8428e+02
2.76624224e+03, -7.5601e-01, -1.8367e+02
2.76803215e+03, -5.2830e-01, -1.8441e+02
2.76982322e+03, -4.7517e-01, -1.8559e+02
2.77161545e+03, -3.4705e-01, -1.8522e+02
2.77340884e+03, -4.9642e-01, -1.8579e+02
2.77520339e+03, -4.1982e-01, -1.8214e+02
2.77699910e+03, -2.3019e-01, -1.8167e+02
2.77879598e+03, -2.9702e-01, -1.8853e+02
2.78059401e+03, -1.4175e-01, -1.8227e+02
2.78239321e+03, -2.3457e-01, -1.8558e+02
2.78419358e+03, -2.9729e-01, -1.8262e+02
2.78599511e+03, 2.7530e-01, -1.8456e+02
2.78779780e+03, -3.6488e-01, -1.8476e+02
2.78960166e+03, -6.8632e-02, -1.8414e+02
2.79140669e+03, -6.3292e-01, -1.8504e+02
2.79321289e+03, 1.7844e-01, -1.8638e+02
2.79502025e+03, -7.3943e-02, -1.8522e+02
2.79682879e+03, -1.5133e-02, -1.8213e+02
2.79863849e+03, -1.3347e-02, -1.8376e+02
2.80044937e+03, -4.5928e-03, -1.8258e+02
2.80226141e+03, -1.0817e+00, -1.8942e+02
2.80407463e+03, -4.7170e-01, -1.8050e+02
2.80588903e+03, -8.0141e-02, -1.8660e+02
2.80770459e+03, -3.0459e-01, -1.8381e+02
2.80952133e+03, -3.4469e-03, -1.8725e+02
2.81133925e+03, 1.0037e-01, -1.8537e+02
2.81315835e+03, 2.0969e-01, -1.8566e+02
2.81497862e+03, -2.0378e-01, -1.8529e+02
2.81680007e+03, -1.1862e-01, -1.8596e+02
2.81862269e+03, -2.5810e-01, -1.8154e+02
2.82044650e+03, -5.1593e-01, -1.8395e+02
2.82227149e+03, -5.2162e-01, -1.8368e+02
2.82409765e+03, 3.1195e-01, -1.8380e+02
2.82592500e+03, -1.2260e-01, -1.8373e+02
2.82775353e+03, -4.5596e-01, -1.8500e+02
2.82958325e+03, -1.8212e-01, -1.8687e+02
2.83141415e+03, -3.1385e-01, -1.8675e+02
2.83324623e+03, -3.0077e-01, -1.8530e+02
2.83507950e+03, -1.4447e-01, -1.8708e+02
2.83691395e+03, 1.7240e-02, -1.8730e+02
2.83874960e+03, -1.9486e-01, -1.8709e+02
2.84058643e+03, -4.3603e-01, -1.8466e+02
2.84242444e+03, -3.2582e-01, -1.8390e+02
2.84426365e+03, -4.2473e-01, -1.8718e+02
2.84610405e+03, -5.1728e-02, -1.8708e+02
2.84794564e+03, 1.6297e-01, -1.8556e+02
2.84978842e+03, 1.1664e-01, -1.8262e+02
2.85163239e+03, -7.1528e-01, -1.8768e+02
2.85347756e+03, -1.5085e-01, -1.8825e+02
2.85532392e+03, -1.4837e-01, -1.8713e+02
2.85717147e+03, -2.1249e-01, -1.8663e+02
2.85902022e+03, -5.7478e-01, -1.8489e+02
2.86087017e+03, -6.6857e-01, -1.8423e+02
2.86272131e+03, -4.7982e-01, -1.8658e+02
2.86457365e+03, -3.7305e-01, -1.8511e+02
2.86642719e+03, -5.9974e-02, -1.8577e+02
2.86828193e+03, -2.4313e-01, -1.8860e+02
2.87013787e+03, -3.7680e-01, -1.8335e+02
2.87199501e+03, -2.9434e-01, -1.8252e+02
2.87385335e+03, -3.1693e-02, -1.8430e+02
2.87571289e+03, 8.6200e-02, -1.8335e+02
2.87757364e+03, -3.4967e-01, -1.8448e+02
2.87943559e+03, -1.7808e-01, -1.8737e+02
2.88129874e+03, -1.2109e-01, -1.8536e+02
